Model,Year,CarCompany,CountryOrigin
Sonata,2019,Hyundai,South Korea
MDX,2018,Acura,Japan
500X,2022,Fiat,Italy
Sorento,2011,Kia,South Korea
Sonata,2014,Hyundai,South Korea
Defender,2014,Land Rover,UK
Panda,2015,Fiat,Italy
500,2020,Fiat,Italy
SF90,2013,Ferrari,Italy
Range Rover,2010,Land Rover,UK
Mazda6,2019,Mazda,Japan
Tipo,2011,Fiat,Italy
Sorento,2016,Kia,South Korea
Defender,2011,Land Rover,UK
488 GTB,2021,Ferrari,Italy
F-Type,2014,Jaguar,UK
Pacifica,2013,Chrysler,USA
F8 Tributo,2010,Ferrari,Italy
Discovery,2018,Land Rover,UK
Impala,2014,Chevrolet,USA
300,2023,Chrysler,USA
SF90,2012,Ferrari,Italy
Forester,2012,Subaru,Japan
Model 3,2013,Tesla,USA
Model X,2022,Tesla,USA
F-Pace,2024,Jaguar,UK
Malibu,2020,Chevrolet,USA
MDX,2010,Acura,Japan
Fit,2018,Honda,Japan
Frontier,2010,Nissan,Japan
5 Series,2014,BMW,Germany
Sorento,2021,Kia,South Korea
Atlas,2014,Volkswagen,Germany
Clio,2014,Renault,France
TLX,2012,Acura,Japan
Camry,2013,Toyota,Japan
300,2023,Chrysler,USA
MDX,2023,Acura,Japan
208,2022,Peugeot,France
Clio,2020,Renault,France
Camry,2017,Toyota,Japan
Golf,2013,Volkswagen,Germany
Equinox,2018,Chevrolet,USA
Mazda6,2017,Mazda,Japan
3008,2019,Peugeot,France
TLX,2023,Acura,Japan
Tahoe,2014,Chevrolet,USA
C-Class,2011,Mercedes-Benz,Germany
Pacifica,2024,Chrysler,USA
ES,2016,Lexus,Japan
Rogue,2016,Nissan,Japan
S60,2010,Volvo,Sweden
X3,2014,BMW,Germany
Passat,2012,Volkswagen,Germany
Forester,2023,Subaru,Japan
Clio,2015,Renault,France
Pacifica,2021,Chrysler,USA
Mazda3,2021,Mazda,Japan
Defender,2018,Land Rover,UK
Challenger,2022,Dodge,USA
Optima,2020,Kia,South Korea
Roma,2022,Ferrari,Italy
Charger,2012,Dodge,USA
Mustang,2016,Ford,USA
Camry,2010,Toyota,Japan
F-150,2015,Ford,USA
Sportage,2015,Kia,South Korea
Forester,2010,Subaru,Japan
Model 3,2015,Tesla,USA
3008,2011,Peugeot,France
Sentra,2014,Nissan,Japan
308,2021,Peugeot,France
NX,2013,Lexus,Japan
Sentra,2016,Nissan,Japan
TLX,2017,Acura,Japan
Model X,2023,Tesla,USA
Mazda3,2014,Mazda,Japan
Roma,2020,Ferrari,Italy
Impreza,2020,Subaru,Japan
Defender,2019,Land Rover,UK
Accord,2023,Honda,Japan
F-Pace,2010,Jaguar,UK
3 Series,2018,BMW,Germany
CX-5,2022,Mazda,Japan
Sorento,2018,Kia,South Korea
Impala,2014,Chevrolet,USA
S60,2017,Volvo,Sweden
V90,2012,Volvo,Sweden
Outback,2015,Subaru,Japan
F8 Tributo,2019,Ferrari,Italy
Malibu,2012,Chevrolet,USA
Charger,2016,Dodge,USA
F8 Tributo,2020,Ferrari,Italy
Tipo,2014,Fiat,Italy
Sorento,2014,Kia,South Korea
NX,2011,Lexus,Japan
Silverado,2010,Chevrolet,USA
Range Rover,2015,Land Rover,UK
Maxima,2021,Nissan,Japan
3 Series,2015,BMW,Germany
Impreza,2011,Subaru,Japan
Telluride,2024,Kia,South Korea
508,2010,Peugeot,France
Sentra,2012,Nissan,Japan
Sonata,2010,Hyundai,South Korea
Sentra,2015,Nissan,Japan
Sonata,2021,Hyundai,South Korea
CR-V,2024,Honda,Japan
F-Pace,2015,Jaguar,UK
Passat,2021,Volkswagen,Germany
Durango,2013,Dodge,USA
Elantra,2015,Hyundai,South Korea
Tipo,2017,Fiat,Italy
Range Rover,2013,Land Rover,UK
Challenger,2010,Dodge,USA
X5,2016,BMW,Germany
Pacifica,2011,Chrysler,USA
E-Class,2011,Mercedes-Benz,Germany
Mazda6,2021,Mazda,Japan
Megane,2014,Renault,France
E-Class,2020,Mercedes-Benz,Germany
Tahoe,2023,Chevrolet,USA
3 Series,2020,BMW,Germany
S-Class,2016,Mercedes-Benz,Germany
Sentra,2014,Nissan,Japan
Pilot,2011,Honda,Japan
Pacifica,2021,Chrysler,USA
Maxima,2023,Nissan,Japan
Mustang,2022,Ford,USA
Pacifica,2017,Chrysler,USA
F-150,2024,Ford,USA
ILX,2010,Acura,Japan
Megane,2021,Renault,France
Defender,2023,Land Rover,UK
Frontier,2014,Nissan,Japan
488 GTB,2024,Ferrari,Italy
Tucson,2015,Hyundai,South Korea
Tipo,2024,Fiat,Italy
Defender,2010,Land Rover,UK
Highlander,2024,Toyota,Japan
Tipo,2014,Fiat,Italy
Santa Fe,2018,Hyundai,South Korea
Durango,2024,Dodge,USA
Accord,2014,Honda,Japan
XF,2013,Jaguar,UK
Sonata,2018,Hyundai,South Korea
M3,2017,BMW,Germany
IS,2020,Lexus,Japan
XC60,2011,Volvo,Sweden
Fit,2023,Honda,Japan
3008,2019,Peugeot,France
CX-9,2010,Mazda,Japan
Explorer,2022,Ford,USA
Model 3,2024,Tesla,USA
208,2024,Peugeot,France
Megane,2012,Renault,France
Durango,2020,Dodge,USA
V90,2024,Volvo,Sweden
Equinox,2012,Chevrolet,USA
F-150,2020,Ford,USA
F-Type,2024,Jaguar,UK
Mazda6,2018,Mazda,Japan
F-150,2012,Ford,USA
Telluride,2011,Kia,South Korea
Roma,2024,Ferrari,Italy
Discovery,2010,Land Rover,UK
X3,2023,BMW,Germany
RDX,2018,Acura,Japan
XC90,2024,Volvo,Sweden
E-Class,2022,Mercedes-Benz,Germany
XE,2019,Jaguar,UK
Equinox,2013,Chevrolet,USA
Optima,2015,Kia,South Korea
Santa Fe,2014,Hyundai,South Korea
XE,2011,Jaguar,UK
Impreza,2016,Subaru,Japan
SF90,2021,Ferrari,Italy
Roma,2018,Ferrari,Italy
S-Class,2017,Mercedes-Benz,Germany
Range Rover,2010,Land Rover,UK
IS,2019,Lexus,Japan
Model 3,2015,Tesla,USA
Megane,2022,Renault,France
TLX,2011,Acura,Japan
CX-5,2012,Mazda,Japan
508,2014,Peugeot,France
Tipo,2022,Fiat,Italy
C-Class,2023,Mercedes-Benz,Germany
XC60,2013,Volvo,Sweden
TLX,2011,Acura,Japan
Santa Fe,2024,Hyundai,South Korea
MDX,2014,Acura,Japan
Captur,2023,Renault,France
S-Class,2014,Mercedes-Benz,Germany
Elantra,2011,Hyundai,South Korea
Pilot,2021,Honda,Japan
Frontier,2011,Nissan,Japan
308,2023,Peugeot,France
Frontier,2022,Nissan,Japan
XF,2010,Jaguar,UK
500X,2024,Fiat,Italy
GLC,2012,Mercedes-Benz,Germany
488 GTB,2023,Ferrari,Italy
Prius,2020,Toyota,Japan
300,2014,Chrysler,USA
Tucson,2022,Hyundai,South Korea
Sonata,2020,Hyundai,South Korea
CX-9,2013,Mazda,Japan
Impala,2016,Chevrolet,USA
F-Type,2021,Jaguar,UK
3 Series,2016,BMW,Germany
Model X,2010,Tesla,USA
500,2021,Fiat,Italy
XE,2018,Jaguar,UK
Malibu,2023,Chevrolet,USA
Impreza,2016,Subaru,Japan
SF90,2015,Ferrari,Italy
V90,2020,Volvo,Sweden
GLC,2024,Mercedes-Benz,Germany
Tucson,2017,Hyundai,South Korea
Impreza,2014,Subaru,Japan
300,2013,Chrysler,USA
Model X,2023,Tesla,USA
M3,2012,BMW,Germany
488 GTB,2012,Ferrari,Italy
Santa Fe,2012,Hyundai,South Korea
Discovery,2013,Land Rover,UK
GLE,2023,Mercedes-Benz,Germany
Civic,2017,Honda,Japan
MDX,2011,Acura,Japan
Model Y,2013,Tesla,USA
X5,2015,BMW,Germany
Model Y,2018,Tesla,USA
Model S,2010,Tesla,USA
308,2018,Peugeot,France
Clio,2019,Renault,France
Impreza,2016,Subaru,Japan
M3,2018,BMW,Germany
208,2020,Peugeot,France
NX,2012,Lexus,Japan
Model X,2015,Tesla,USA
Atlas,2013,Volkswagen,Germany
Megane,2022,Renault,France
Durango,2013,Dodge,USA
Sonata,2012,Hyundai,South Korea
GLE,2023,Mercedes-Benz,Germany
GLE,2022,Mercedes-Benz,Germany
Sonata,2015,Hyundai,South Korea
Mazda3,2014,Mazda,Japan
Fusion,2015,Ford,USA
CX-5,2016,Mazda,Japan
300,2022,Chrysler,USA
GLE,2012,Mercedes-Benz,Germany
E-Class,2022,Mercedes-Benz,Germany
ILX,2018,Acura,Japan
Clio,2013,Renault,France
Mustang,2021,Ford,USA
X3,2011,BMW,Germany
C-Class,2021,Mercedes-Benz,Germany
Maxima,2021,Nissan,Japan
Optima,2010,Kia,South Korea
5 Series,2017,BMW,Germany
Mustang,2023,Ford,USA
Passat,2012,Volkswagen,Germany
Tiguan,2024,Volkswagen,Germany
Fusion,2024,Ford,USA
V90,2024,Volvo,Sweden
Talisman,2023,Renault,France
Model S,2020,Tesla,USA
Santa Fe,2020,Hyundai,South Korea
GLE,2024,Mercedes-Benz,Germany
Camry,2011,Toyota,Japan
Fusion,2013,Ford,USA
Model 3,2016,Tesla,USA
NX,2014,Lexus,Japan
IS,2011,Lexus,Japan
Santa Fe,2019,Hyundai,South Korea
Pilot,2015,Honda,Japan
Megane,2015,Renault,France
XE,2017,Jaguar,UK
MDX,2021,Acura,Japan
Tipo,2024,Fiat,Italy
GLE,2020,Mercedes-Benz,Germany
F-150,2022,Ford,USA
Defender,2017,Land Rover,UK
ES,2010,Lexus,Japan
Discovery,2022,Land Rover,UK
Challenger,2014,Dodge,USA
ES,2022,Lexus,Japan
Sentra,2019,Nissan,Japan
Captur,2021,Renault,France
Outback,2016,Subaru,Japan
X3,2012,BMW,Germany
Model Y,2018,Tesla,USA
Sorento,2015,Kia,South Korea
Sportage,2011,Kia,South Korea
SF90,2011,Ferrari,Italy
488 GTB,2021,Ferrari,Italy
Santa Fe,2010,Hyundai,South Korea
Equinox,2012,Chevrolet,USA
Sportage,2020,Kia,South Korea
488 GTB,2014,Ferrari,Italy
Highlander,2011,Toyota,Japan
Tiguan,2020,Volkswagen,Germany
Accord,2018,Honda,Japan
Crosstrek,2015,Subaru,Japan
V90,2019,Volvo,Sweden
Defender,2018,Land Rover,UK
Sentra,2023,Nissan,Japan
Defender,2021,Land Rover,UK
Defender,2011,Land Rover,UK
Pacifica,2015,Chrysler,USA
Atlas,2022,Volkswagen,Germany
XC60,2016,Volvo,Sweden
Rogue,2015,Nissan,Japan
Talisman,2018,Renault,France
Highlander,2021,Toyota,Japan
Sorento,2021,Kia,South Korea
Impala,2022,Chevrolet,USA
CX-9,2016,Mazda,Japan
Defender,2014,Land Rover,UK
S60,2016,Volvo,Sweden
TLX,2013,Acura,Japan
F-Type,2021,Jaguar,UK
V90,2019,Volvo,Sweden
488 GTB,2013,Ferrari,Italy
5 Series,2024,BMW,Germany
508,2013,Peugeot,France
3008,2014,Peugeot,France
F-Type,2010,Jaguar,UK
Tipo,2010,Fiat,Italy
MDX,2015,Acura,Japan
Passat,2011,Volkswagen,Germany
Accord,2022,Honda,Japan
3008,2023,Peugeot,France
Altima,2015,Nissan,Japan
ES,2015,Lexus,Japan
GLC,2010,Mercedes-Benz,Germany
Sorento,2011,Kia,South Korea
Pacifica,2014,Chrysler,USA
Tucson,2024,Hyundai,South Korea
XC60,2022,Volvo,Sweden
C-Class,2024,Mercedes-Benz,Germany
Pacifica,2023,Chrysler,USA
Elantra,2024,Hyundai,South Korea
X5,2020,BMW,Germany
Optima,2016,Kia,South Korea
3008,2010,Peugeot,France
Defender,2021,Land Rover,UK
RAV4,2020,Toyota,Japan
Mazda6,2019,Mazda,Japan
Panda,2023,Fiat,Italy
300,2023,Chrysler,USA
Tipo,2021,Fiat,Italy
Tucson,2017,Hyundai,South Korea
Sportage,2020,Kia,South Korea
Accord,2011,Honda,Japan
Captur,2017,Renault,France
Challenger,2017,Dodge,USA
Crosstrek,2012,Subaru,Japan
Discovery,2011,Land Rover,UK
Discovery,2013,Land Rover,UK
Camry,2021,Toyota,Japan
GLE,2019,Mercedes-Benz,Germany
S-Class,2023,Mercedes-Benz,Germany
RDX,2017,Acura,Japan
Model Y,2016,Tesla,USA
Santa Fe,2017,Hyundai,South Korea
Santa Fe,2023,Hyundai,South Korea
Impreza,2013,Subaru,Japan
Corolla,2019,Toyota,Japan
F-150,2015,Ford,USA
ES,2013,Lexus,Japan
GLE,2022,Mercedes-Benz,Germany
F8 Tributo,2022,Ferrari,Italy
Pacifica,2024,Chrysler,USA
Tucson,2023,Hyundai,South Korea
SF90,2015,Ferrari,Italy
Mazda3,2012,Mazda,Japan
RDX,2014,Acura,Japan
Santa Fe,2022,Hyundai,South Korea
Highlander,2016,Toyota,Japan
Model S,2019,Tesla,USA
E-Class,2022,Mercedes-Benz,Germany
Talisman,2019,Renault,France
Civic,2017,Honda,Japan
ILX,2013,Acura,Japan
TLX,2013,Acura,Japan
Sportage,2010,Kia,South Korea
S-Class,2017,Mercedes-Benz,Germany
S60,2024,Volvo,Sweden
3 Series,2017,BMW,Germany
308,2020,Peugeot,France
RDX,2015,Acura,Japan
488 GTB,2022,Ferrari,Italy
Golf,2011,Volkswagen,Germany
Durango,2019,Dodge,USA
Optima,2010,Kia,South Korea
Range Rover,2012,Land Rover,UK
Forester,2020,Subaru,Japan
Atlas,2023,Volkswagen,Germany
Rogue,2015,Nissan,Japan
Mustang,2019,Ford,USA
XF,2015,Jaguar,UK
GLE,2017,Mercedes-Benz,Germany
F8 Tributo,2021,Ferrari,Italy
XC90,2013,Volvo,Sweden
XE,2017,Jaguar,UK
RDX,2019,Acura,Japan
Charger,2021,Dodge,USA
Passat,2023,Volkswagen,Germany
XC60,2019,Volvo,Sweden
F-150,2011,Ford,USA
300,2014,Chrysler,USA
Pacifica,2020,Chrysler,USA
Pilot,2010,Honda,Japan
Roma,2020,Ferrari,Italy
Malibu,2018,Chevrolet,USA
Accord,2022,Honda,Japan
ILX,2014,Acura,Japan
Durango,2010,Dodge,USA
3 Series,2019,BMW,Germany
SF90,2013,Ferrari,Italy
5 Series,2010,BMW,Germany
E-Class,2023,Mercedes-Benz,Germany
RX,2022,Lexus,Japan
Mazda6,2014,Mazda,Japan
Range Rover,2012,Land Rover,UK
208,2018,Peugeot,France
Defender,2010,Land Rover,UK
Escape,2014,Ford,USA
5 Series,2020,BMW,Germany
Golf,2010,Volkswagen,Germany
Challenger,2010,Dodge,USA
Roma,2024,Ferrari,Italy
Pilot,2017,Honda,Japan
500,2023,Fiat,Italy
GLC,2013,Mercedes-Benz,Germany
Mazda3,2021,Mazda,Japan
C-Class,2017,Mercedes-Benz,Germany
Escape,2017,Ford,USA
Rogue,2011,Nissan,Japan
Defender,2013,Land Rover,UK
Clio,2017,Renault,France
Captur,2014,Renault,France
Discovery,2023,Land Rover,UK
3 Series,2017,BMW,Germany
Telluride,2012,Kia,South Korea
F-150,2010,Ford,USA
Atlas,2016,Volkswagen,Germany
Impala,2014,Chevrolet,USA
Tipo,2021,Fiat,Italy
Optima,2014,Kia,South Korea
NX,2017,Lexus,Japan
Durango,2024,Dodge,USA
XC90,2019,Volvo,Sweden
F-Pace,2017,Jaguar,UK
Sorento,2010,Kia,South Korea
Outback,2017,Subaru,Japan
CX-5,2016,Mazda,Japan
F8 Tributo,2023,Ferrari,Italy
Model Y,2015,Tesla,USA
Talisman,2012,Renault,France
Defender,2024,Land Rover,UK
Sportage,2012,Kia,South Korea
Discovery,2023,Land Rover,UK
3008,2023,Peugeot,France
CX-5,2015,Mazda,Japan
208,2022,Peugeot,France
CR-V,2010,Honda,Japan
MDX,2014,Acura,Japan
IS,2013,Lexus,Japan
CX-9,2020,Mazda,Japan
Optima,2023,Kia,South Korea
Pilot,2020,Honda,Japan
Civic,2010,Honda,Japan
508,2023,Peugeot,France
Tahoe,2013,Chevrolet,USA
Challenger,2013,Dodge,USA
Santa Fe,2014,Hyundai,South Korea
Model S,2012,Tesla,USA
CR-V,2011,Honda,Japan
Atlas,2022,Volkswagen,Germany
MDX,2021,Acura,Japan
Challenger,2023,Dodge,USA
RAV4,2010,Toyota,Japan
Atlas,2014,Volkswagen,Germany
X3,2011,BMW,Germany
ILX,2017,Acura,Japan
Pilot,2023,Honda,Japan
Pacifica,2010,Chrysler,USA
Golf,2010,Volkswagen,Germany
TLX,2020,Acura,Japan
Malibu,2018,Chevrolet,USA
500X,2021,Fiat,Italy
